# https://github.com/org-crac/example-xml-transform/runs/871501998

   200   0.54   0.20
  1000   1.73   0.68
  2000   2.85   1.22
  5000   5.12   2.62
 10000   8.37   4.84
 20000  14.41   8.84
 40000  22.90  16.62
 60000  30.69  24.42
 80000  38.49  32.04
100000  46.13  39.77
