# https://github.com/org-crac/example-quarkus/runs/850514502

   200   0.59   0.14
  1000   1.73   0.55
  2000   2.85   1.02
  5000   4.95   2.34
 10000   8.01   4.52
 20000  13.30   8.84
 40000  22.05  17.48
 60000  30.12  26.03
 80000  38.12  34.46
100000  46.15  42.93
