# see startup.data

   200   0.52   0.18
  1000   1.64   0.62
  2000   2.70   1.12
  5000   4.90   2.40
 10000   7.93   4.37
 20000  12.88   8.19
 40000  20.50  15.76
 60000  27.96  23.19
 80000  35.48  30.61
100000  42.79  38.04
